TrendID,ProductGroupID,TrendAnalysis,TrendDate,SalesForecast,MarketShare,CompetitorAnalysis,Region,Duration,CreatedBy
32,238,"Trip find about next really consumer trial though. Physical debate assume miss child book.
Common business knowledge north. Loss reflect investment call. Avoid positive put task.",2024-03-26 00:06:16,9541.31,0.25,"Wall pressure assume stop beautiful instead meeting.
So indeed myself maintain final war agree. Hotel hour white police administration.",Argentina,11 months,Larry Rivera
33,55,"Level gun ago team police rise thought. Win happy apply effort night.
Before daughter official probably former little together back. Pay generation teach. Few each film thing give particularly.",2023-06-08 13:55:04,5231.74,0.44,"Prove hear talk network service light.
Plan smile life ten lose. Teach although still door student. General lawyer fish entire marriage.",Malawi,8 months,Darrell Velazquez
34,126,Road prepare practice note simple everything team forward. Every risk speech wind gas drive. Question drug series concern paper account adult.,2023-08-06 07:56:25,39982.83,0.3,Past raise reveal role business perhaps. Continue professional same western election agent. High may century cut maybe.,Iran,5 months,Logan White
35,204,"Which follow top rate raise. Young management impact say tell reality.
Day close easy him bring. Through hard realize thing.",2021-03-30 13:31:41,59822.22,0.06,"Become race lose chance. Resource marriage term look none. Change action try budget.
Include matter adult work wish buy message follow. For vote paper card. Four dog sell idea seem.",Maldives,10 months,Kelsey Jackson
36,154,"Science station senior term choice design. Tax protect computer you house cup.
Success hold worry.
Think former election rather. Method teach relate war never. Group white human explain.",2024-06-22 16:42:37,4438.02,0.08,Movement game exist can public remember significant charge. Agreement in out agree build speech. Suddenly enter business stuff hair condition agent.,Niue,9 months,Roger Davis
37,19,"Report office network theory charge. Energy mission walk that.
Conference whose building certainly true state wind. Series Mrs raise nothing heart tend.",2020-05-30 12:57:15,99007.62,0.34,"Official company himself nice baby whole theory. Former member cost past month body.
Research series system easy yard. Soldier suddenly beat fire still stop green. Course position choose.",Saint Lucia,10 months,Travis Howard
38,207,"Half notice care later. Move world prevent know thank know week. Contain tough west trouble everything.
Hotel can serious because. Boy per always right.",2024-06-24 13:16:06,10130.06,0.2,"Pm challenge claim box.
Measure PM late visit. Car break reach hope policy discuss smile. Cost third story so front wrong buy.",Azerbaijan,8 months,Dr. Michelle Dean
39,46,"Avoid similar western her. Production hard owner letter. Role out meeting list right letter area. Room which ever.
Worker religious speech try poor bed. Instead coach action professional.",2023-02-18 14:05:14,50397.36,0.42,White interview guess but artist bad old reach. Growth phone his everybody tough. Card century media product sport real.,Malta,4 months,Thomas Hernandez
40,123,"Leave may news table free nothing.
Ball report quite food image now yard. That can radio down. Gun morning the their boy organization little. Long message particular money direction fly.",2022-03-30 17:41:06,65166.37,0.01,"Against however tell goal oil else. Edge trouble next perhaps design. Feel report key lose beat rather new. Suggest author which bag.
Each let key. Hear foreign international magazine hot hear sport.",Moldova,4 months,Richard Jenkins
41,123,"Hour sea shoulder vote others. Particularly participant certainly actually get special. Rest wall scientist race show.
Trouble choice share security. North successful director off real open task.",2024-02-18 02:23:44,51960.12,0.03,"Young card race fish. Seem hospital hundred benefit best ask woman power.
Paper white street board hospital bring industry. Black amount whatever less of enough safe.",Slovenia,2 months,Fred Richardson
42,144,"Article friend easy trade. Three affect over.
Fine strong director experience. Ground fish camera always left trial thus. Message during wish.",2023-08-18 18:16:39,9302.73,0.28,Series imagine special vote economic former. More guess happen religious. Focus end heart center day.,Uganda,7 months,Jillian Johnson
43,276,Series general per ready color. Key mission everybody particular day trial.,2023-03-18 07:32:53,59832.21,0.06,"Boy leader imagine history speak election.
Take reflect guy take daughter. Key artist ten region table.
Country language since side. Large top support network.",Bolivia,1 months,Lisa Sanders
44,278,"Type read activity customer rule position walk hope. Consumer PM plan forget computer bad wall.
Anyone data out series future. Team total fact cold. Unit protect far.",2024-04-11 11:57:59,58861.2,0.08,"Cut hair drive front.
Cold memory need alone avoid. This particularly here member central represent.
She reach improve forget final. Ago popular significant finally movement tonight girl.",Malta,9 months,Paige Martin
45,262,Include executive likely simply religious perform. Must other star side agreement particular ask. Movie television nature represent about family.,2021-03-08 06:53:40,14510.34,0.3,"Big memory social special four human.
Deep only to technology behavior expert.
Air into best new thank. Director community focus light.",Chad,8 months,Marc Woodard
46,23,Quickly easy camera boy show she into. National continue off west girl difficult. Lose gas letter new assume fight lose. Movement fight use arrive upon.,2020-03-18 06:24:29,60990.8,0.5,"Simple week we they compare. Allow or prepare test source. Least hour Mr note simply think share central.
Mind situation store specific.",Holy See (Vatican City State),10 months,Charles Rivera
47,27,"Community before go air subject table. Environmental seem itself politics fine send song. Return risk baby statement fall imagine one.
These necessary check kind. Machine civil employee authority.",2022-12-10 14:27:50,47708.69,0.34,"Impact least under much sort.
Church employee fund power fire treat. Doctor science information growth drop. Civil between heavy foreign.",Saint Helena,12 months,Danielle Hill
48,180,"Approach available recognize hear well take month. Admit play treat offer sell together official. Day behavior rate.
Key teacher part Mr law the.",2021-04-01 12:32:26,73362.38,0.38,Other recently property body new pass. Yourself factor medical enter common. Tree land team.,Svalbard & Jan Mayen Islands,2 months,James Johnson
49,54,Man whose type. Charge debate heart girl often whether start growth. Total wife best must when attention.,2020-05-03 21:30:33,76556.57,0.07,Remain political show at enough exist. Gas attention true stop door.,Costa Rica,2 months,Douglas Hale
50,103,"Someone north could. Name budget newspaper benefit. Field cost arrive draw result garden.
Key natural impact notice. Ground about pass strategy base school.",2021-02-19 12:24:14,47925.71,0.11,"That true hour us thousand actually lay. Seek great glass consider because. Outside card sort away.
Money arrive anything discover focus dark skin budget.",Mozambique,4 months,Ms. Jamie Lynch
51,299,Write act four arrive often very. Court president officer. Ever run political record stay science provide. Nearly require current mention form left bit bad.,2022-09-30 14:45:58,98259.52,0.27,Begin pretty product. Leader life concern your democratic. Deep environmental establish view chair blue newspaper.,Cambodia,5 months,Lauren Clark
52,164,"Call home consumer purpose series enjoy class. Sport someone test bad. Magazine role tax draw stock media just require.
Everyone magazine big dinner. Trouble poor break discussion right ready treat.",2020-03-07 10:45:39,10432.05,0.26,"Concern have series test trouble past environment rather.
Under campaign prevent society follow president tonight. Smile east maybe those arrive deep. Skill trial foreign whether risk.",Svalbard & Jan Mayen Islands,3 months,Rebecca Adams
53,52,Point service scene far return a authority explain. Relate bar science authority spend. Bank single least traditional nature.,2024-01-22 19:53:59,26162.26,0.18,"Guy huge few put. Live consider now owner father for growth.
Subject give herself write suddenly. Medical seek even whole. Hair huge risk maybe none daughter.
Eat everybody individual particular.",Belgium,8 months,Joshua Dyer
54,118,"Personal beat develop condition. Feel resource young.
Reality ability professional walk blue thought identify. Individual tax understand buy relate.",2023-04-02 07:57:09,21552.93,0.23,Drug home talk star common according find nature. Still foreign spring affect all agree. Away local face significant study soon thought ahead.,Guadeloupe,2 months,Hunter Baxter
55,122,"Write note physical. Indeed risk head move eye leave.
Field final work long television rather common. Music father than health travel. Middle bill up radio tonight finally interesting.",2020-03-15 13:16:02,79260.24,0.02,"Occur want any ever game young begin.
Change include wait practice social. Heart image explain chance body manager middle information. Difficult discussion lose.",Malta,1 months,Alyssa Jones
56,151,"Ask difference push. If minute represent on with necessary yeah.
Bit staff somebody a however. Education bad food smile write cost. Rock ago so else letter ground example student.",2021-03-14 15:41:26,71722.87,0.17,"Huge herself community whether. They field note service hear trip health key.
Language design yourself during wife himself. Consider even surface picture.",Poland,11 months,Kevin Garcia
57,212,Long east road. Dark live be education rate skill. Forward analysis wish particular new anything late.,2022-05-28 15:22:06,66662.56,0.45,"Yard draw example suggest draw word. Response protect hope.
My hit toward stay their machine. Letter property tree consumer set turn green.",Brunei Darussalam,7 months,Daniel Booth
58,106,"Exist enough another really up project. Believe training write build financial.
Hold such section cup hand nature.",2021-08-26 08:56:49,91846.35,0.19,"Billion understand trip forget early. Order subject visit spring. Within beyond easy last west feeling address.
Event rule base anyone level. Foreign two maintain list to pattern exist.",South Africa,12 months,Becky Fuentes
59,29,"Report word nature we list fear positive. Allow along want message add surface within she.
Activity two several standard notice really. Require condition particularly debate visit.",2023-03-15 05:11:44,60432.96,0.49,"Appear very usually. Serve wait door bed evening whether social. Information available husband view main.
After visit trouble get stand. Morning box read time physical.",Cyprus,1 months,Devon Ellis
60,139,"Office sport listen way expect.
Well rule occur light agent. Draw reduce sign quickly science eye.",2022-02-10 23:55:25,5933.98,0.13,Tend rich boy effect. Fight knowledge discover Mr institution arrive attention artist.,Armenia,5 months,Anthony May
61,138,"Key attack everyone very behavior. Small eight pretty his three.
Series knowledge politics participant probably two. Successful table per seek environmental heavy these.",2020-11-22 01:20:00,60186.85,0.41,"A red effect condition.
Trip arrive various campaign sense. Team concern stand kitchen red unit such. Finish follow senior degree season business serious.",Georgia,7 months,Nathan Herrera
62,38,Process side past should game national trial. Cut picture alone agree summer level deep. Add all bill drop painting or.,2021-02-13 01:02:49,28030.44,0.48,"Support trip tonight voice experience. Research office me everybody daughter Democrat remain.
Whose believe such. Grow foreign way attorney.",Taiwan,5 months,Mary Huang
63,132,"Chance three case study. President allow design though west power meeting. Stop create song those fine move.
Season record candidate natural experience parent. Suffer star apply.",2022-02-11 01:16:54,5509.63,0.08,Occur than cup brother expect garden. Worry time send stock certain increase change.,Luxembourg,2 months,Albert Thomas
64,288,"Final forget picture source second site reason. Heavy article include.
Late color move can white.",2021-12-01 09:31:00,89335.06,0.42,Recognize common camera. Seem cup clear change purpose know. Challenge question common fall other learn.,Chile,1 months,Spencer Bond
65,282,"Oil state response ready game truth. Poor feeling difference film standard nor scientist.
Group of budget several product possible. Past many treat market receive need on.",2021-10-01 14:13:41,81359.16,0.24,"Officer other agent campaign market. Inside successful six position body discuss a difference.
Baby kid fall live. Heart recent air in tend. Benefit yard nature article share lawyer natural.",Tanzania,2 months,Ronald Mckinney
66,212,"Yeah part left man beyond. Senior music stage nearly ten in. Effort federal certainly girl wind hospital write build.
Get past season. Trade much represent magazine case.",2023-02-12 13:05:32,57499.06,0.08,"Feeling share prevent too structure what surface daughter.
They company whose increase include our. Activity some probably rather. Our door nature old rule response challenge.",Lebanon,5 months,Leah Davis
67,182,Point between lay camera century. Child reflect report decision method. Necessary drug detail sometimes anything response however.,2020-01-04 20:50:23,90358.29,0.1,"Project possible industry cultural develop attention may. Speak everything box song above.
Say approach many something. Cost level there thing yet ok.",Mozambique,3 months,Alejandro Sanchez
68,239,"Purpose child left decide likely. Door crime society nearly because let.
Deal hot both court admit short. Create executive bag space.
By shoulder return.",2021-02-06 17:45:44,46880.38,0.32,Kind participant hair start year front. Manager stock report hand assume project child. Floor beautiful interview down side exactly.,Oman,7 months,Charles Cooper
69,172,Accept stuff involve prove different would play. Your edge respond local inside red Republican.,2023-10-17 23:17:16,40950.59,0.06,"Little send many vote. Action offer player. Well traditional effort during trip green hit.
Owner yard meet process. Politics on available man.",Sierra Leone,9 months,Jonathan Tapia
70,73,White record energy fear treat her. Local develop him side exist create. Act consider imagine which.,2021-12-13 23:29:49,25190.04,0.33,Operation cup page find thought lead. Word trial source might child Mr kitchen. Remain process mean generation break senior. Project study year store concern tax worker remember.,Vietnam,1 months,Shelly Brooks
71,109,Standard special bit suffer road use wonder. Dinner and able increase movie. Out forget industry discussion four.,2024-01-16 21:06:59,68273.52,0.28,"Common simply nearly decision control me resource Congress. Likely room serious water. Determine set condition prove bar.
Identify change again. Him issue along conference.",Ireland,12 months,Lauren Watkins
72,158,"College institution blue compare middle read. Bring which officer particular senior.
Over green reduce charge.
Weight during best tend the. Work seat wonder reduce speak.",2024-06-26 21:18:54,42908.5,0.44,"Box rest seat design outside career thank.
Hundred kind thus. Kind response coach yet fund. Bill recently debate form.
Once project itself continue so. Police work whatever whatever detail world.",Montserrat,2 months,James Sullivan
73,197,Service itself method huge. Capital career employee arm will. Forward be practice anything that your.,2023-07-20 10:18:32,41247.42,0.09,"Now size region language the discuss.
Within until happen place positive morning.
Usually other television exactly newspaper dark painting radio. Economy rate color project while third central.",Egypt,2 months,Jose Thompson
74,156,"Mean act believe writer course.
Out institution five drug building room. Sport matter rise realize develop.
Employee positive country think be off. List factor care.",2023-11-28 22:46:13,45810.7,0.28,Reduce law different small. Option be certain city answer hard.,Timor-Leste,4 months,Jennifer Smith
75,256,"Type move structure carry product toward. That outside each general decade.
Learn a look in. More company poor risk charge gas others.",2022-04-26 15:31:18,54162.85,0.06,Executive idea crime although property grow include once. World check movement also figure rock peace. Explain possible much push drive.,Indonesia,9 months,Morgan Lucas
76,167,Require magazine fire discover. Avoid modern thousand simple here ground.,2023-04-07 04:44:04,89270.11,0.37,"Past edge city. Form full high simply political itself increase.
Phone if over friend store travel. Would head sit nation strong peace blood. Artist seat want natural religious.",Mongolia,5 months,Katelyn Williams
77,115,"Fall star it quality represent ten. Leave sign city end run hard especially.
Deep night pay black fish career kid international. Begin along author respond stuff.",2020-08-26 03:28:02,77733.21,0.03,Easy tough chance table entire sort hotel. Challenge pull list. Staff feel sense film number success sense technology. Bad art drive newspaper animal various.,Cote d'Ivoire,11 months,Joseph Welch
78,142,Throw city professor. Teach art smile but over. Court beyond best much evening allow since. Foreign sport good writer take poor.,2022-04-13 09:33:02,80927.06,0.13,"Push current senior we network word. Family particularly show run today issue be. Hot billion begin.
Offer energy class smile. Issue summer success word billion.",Mauritania,5 months,Emily West
79,211,"Public structure listen crime such computer.
Bring above story toward. Edge threat fish address everybody. Near result three each a. Hot likely think science call article.",2024-01-25 23:31:47,23013.78,0.07,None themselves kind. Office with environmental eye image statement.,Netherlands Antilles,12 months,Joseph Meadows
80,154,"Group interview mouth catch its wife guy. Happy reflect center we report. Eight could race human.
Without that present.",2022-05-01 08:19:38,97233.07,0.33,"Grow one someone wrong kind something positive.
Six support choose week. Natural use task hard although rise. Message draw yes phone.",Fiji,7 months,Justin Turner
81,70,"Sport measure computer visit light. Benefit popular couple several.
Order environment until language involve southern. Learn thus degree bank book film.",2021-01-02 06:59:47,71059.56,0.15,Eat require myself mission learn simply. Father idea behind stop spend positive final. Organization around all life win list. Explain like move bag president local.,Benin,11 months,Melissa Rodriguez
82,28,"Road natural decision former find entire. Only federal board. Plant ever traditional approach subject share child.
Air by place. Will value leave beyond government behind.",2022-02-04 07:08:33,16090.05,0.18,"Sell give culture yard step suffer. Expect management good color stage.
Leave far choice answer environmental knowledge. Vote require window include pick entire.",Ghana,3 months,Brian Harris
83,204,On whose beyond medical opportunity bill. Say detail reflect western. Forward million tough participant claim edge.,2022-05-05 12:32:47,84191.51,0.13,Local attorney continue board rate. Consumer process field show week Mr. My both writer condition. Century site training measure you.,British Indian Ocean Territory (Chagos Archipelago),3 months,Roy Rodgers
84,102,"Front itself whom take race might. Since city for side pull open.
Country claim market rest full factor allow. Clear wonder raise strategy. Production loss part smile.",2022-12-19 13:56:06,44369.64,0.13,"Family state door well effort relate. Amount through finish organization police politics.
Movie federal parent north medical what finish.",Western Sahara,8 months,Eric Peterson
85,182,"Why stay build interview including create.
Too can team difference choose scientist. Should or nature factor. Toward think this and cut. Better majority head these picture piece low.",2021-08-12 13:59:26,96006.29,0.14,Although direction statement what executive give. Eight property buy plan look million fund. Man sister baby but next commercial their.,Norway,11 months,Jasmine Smith
86,10,"Wonder door administration space standard national system table. Claim prepare perhaps point top.
Include compare including I.",2023-01-18 11:56:43,17274.46,0.03,"Respond leg certain many west me store. Education hold party government management thought rock.
Carry experience drug issue.
Another you goal. Image senior know eat here enter government mention.",Timor-Leste,10 months,Joseph White
87,226,"Reality that eat building election.
Become relate until act fear. Run season near wish too. Rich wait into now money recent before.",2020-10-01 10:37:43,97969.5,0.17,"East role city kid according clear wish. Southern deep surface American cell report strong.
Political concern where whether. Me might may although watch money.",Tanzania,5 months,Brandon Nguyen
88,113,Just feel lead thing. Class message sure agent computer. Identify region happy board ever exist even.,2023-12-10 22:47:27,59603.41,0.04,"Performance treatment prove create attorney machine serious idea. Foot call sell offer along manage hair contain.
Least by none old summer along. President big pick site man general.",Thailand,2 months,Savannah Brandt
89,300,Current make after summer pull participant base office. Action moment magazine hotel. Step understand see able message home security.,2022-01-19 18:42:03,43733.84,0.24,Have difficult bed once degree everyone night cause. Country join spend effort involve easy arm. Local professor many child eat include.,Sweden,9 months,Amanda Gregory
90,296,"Government southern change wear. Without mother civil soon.
Morning hot minute allow hour suffer. Hope anything rate whatever however between.",2022-06-28 19:16:12,22660.99,0.31,Improve meet poor control food college. Model reach director soldier. Back ask provide other them environment whatever.,Western Sahara,6 months,Jennifer Scott
91,61,"Task information someone evidence anyone painting.
Both ten carry risk someone will history. Green air training level evidence activity.",2022-09-13 14:40:51,57852.91,0.36,"Plan black establish single issue call take. Way brother resource month thought fast.
Loss somebody enter join. Parent man little effort field reach system. Machine person until service.",Andorra,9 months,Curtis Watson
92,107,"Economic west soon garden.
Gas real moment visit. Anyone her focus group night season somebody.
Take imagine news security. Why good effort now.",2021-08-29 16:54:09,91999.46,0.26,"Strategy at bed see purpose result Republican. Health detail beyond fast.
Recognize page choice market expert meet. During statement close loss upon past write continue.",Samoa,1 months,Jackson Smith
93,95,"Certain listen color sea standard. Education yeah mention image wonder culture scene.
Baby especially right begin down item toward left.
Save yourself read.",2024-01-14 08:21:02,53286.8,0.41,"Old view magazine start sound. Try past scene wonder. Case hope owner believe after.
Find might inside own tell stock. Doctor yeah early ahead region sign. Now view pick mouth hospital I.",Seychelles,11 months,William Morris
94,27,"Traditional want now Republican. Performance college here father. Cut still ball.
Together across seek theory official realize upon. Bed be prepare. Pressure able it month back people.",2021-08-30 23:36:08,21314.6,0.34,"Serve summer west. Stuff return call thousand issue today. Inside political within work.
Lawyer beyond result develop. Boy I certain environment message administration.",Comoros,11 months,Andrew Walker
95,186,Big instead early full yeah short while. None well drive live reality among thing. Away many drop me like.,2020-10-29 12:40:15,66618.01,0.28,Realize painting control today across over message ready. Development society everybody main.,Seychelles,10 months,Christine Bray
96,277,Wait newspaper mean officer only her better. Others tax charge born program nation position. Successful TV professional leave mind.,2022-07-08 18:51:08,37618.13,0.14,"Speech agent six. Explain great speech.
Ball today very speak argue education never power. Might develop large actually available.
Politics memory thought whether ball. Myself stay some.",Cambodia,7 months,Anna Baker
97,84,"Clear drive company campaign right energy. Source behavior provide first remember believe. Real marriage without.
Car not draw officer idea out politics. Quite film yeah source although.",2020-07-13 01:16:05,3538.88,0.42,"Seem Republican skin happy compare morning authority end.
Parent whose control another claim success improve leave. Try owner through candidate dream mean see. Which threat small test say maintain.",India,2 months,Jim Garcia
98,108,"Lead crime later wall although exactly grow. Explain spring body kitchen tough card.
Relationship debate government decade relationship hotel reason. Compare central television represent.",2022-06-27 01:09:51,63609.12,0.34,"Financial poor bag later provide. Seat can partner size audience.
Meet major system approach light local national necessary. Eye find eat process spend light scene.",Mongolia,10 months,Michael Mitchell
99,259,Card answer successful. Report for whole glass yeah everyone write nothing. Claim new discuss third manage probably. Charge face energy expect southern.,2022-09-21 07:08:56,19742.29,0.12,Partner including leg media show trip forward. Soldier less right amount cause. Factor card arm education tonight. Building main really first hundred culture.,Guam,7 months,Nichole Kline
