SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount,Discount,Tax,PaymentMethod,ShippingAddress,ShippingDate,DeliveryStatus
13,2022-02-10,684,196,6,477.23,9736.38,0.24,0.09,Debit Card,"1567 Brandy Drive
North Jay, IL 71297",2022-11-23,Cancelled
14,2020-04-27,827,193,19,264.03,3031.34,0.18,0.18,Credit Card,"386 Thomas Shore Suite 006
New Karenside, DE 09550",2023-07-25,Cancelled
15,2023-11-15,658,26,3,381.8,5006.1,0.21,0.03,Cash,"5805 Bell Extensions Suite 946
North Tina, ND 44678",2022-10-29,Shipped
16,2020-02-01,472,38,18,136.29,7196.31,0.16,0.02,Online Payment,"66750 Chad Passage
South Alexis, WI 04006",2022-03-08,Cancelled
17,2023-05-03,985,98,1,266.83,8237.47,0.16,0.13,Debit Card,"26548 Mary Roads Apt. 189
Castillofurt, ND 01053",2022-07-11,Shipped
18,2020-12-25,594,139,11,364.52,4864.12,0.16,0.02,Online Payment,"310 Walton Stream Apt. 522
Boydside, WY 29239",2021-02-10,Delivered
19,2022-04-21,993,38,20,146.52,7558.81,0.02,0.05,Credit Card,"822 Jeremy Throughway
Port Jacobville, PA 56930",2021-10-25,Pending
20,2020-04-27,503,164,2,250.47,3595.74,0.19,0.17,Online Payment,"0772 Camacho Green
Jackfurt, GA 46417",2021-11-27,Pending
21,2022-02-10,56,122,8,480.08,8405.48,0.21,0.08,Cash,"089 Joshua Hollow Apt. 544
Williamfurt, DE 38472",2023-07-31,Shipped
22,2022-03-18,997,115,5,302.84,2513.85,0.02,0.14,Cash,"5882 Page Vista
Pachecoborough, LA 65608",2022-02-04,Shipped
23,2022-01-10,926,20,9,105.75,6982.28,0.1,0.05,Online Payment,"24251 Chris Glen Apt. 441
Atkinsonhaven, OR 84559",2020-02-21,Delivered
24,2023-10-09,497,90,16,340.61,7487.41,0.25,0.04,Cash,"40730 Espinoza Roads Apt. 755
East Samanthaton, UT 28044",2020-04-11,Shipped
25,2023-07-06,301,68,11,111.86,4577.03,0.29,0.02,Cash,"56866 Amanda Glens Apt. 443
Jimenezland, MS 50193",2023-11-20,Shipped
26,2020-09-21,895,23,10,240.41,1401.22,0.25,0.13,Credit Card,"9013 Sabrina Hill Suite 673
Stephaniemouth, ND 66482",2022-02-08,Pending
27,2023-03-10,753,145,9,70.9,9069.01,0.09,0.05,Credit Card,"USS Stephenson
FPO AP 77260",2023-07-26,Cancelled
28,2021-04-15,763,155,20,471.49,831.33,0.09,0.01,Online Payment,"5466 Griffin Mews Suite 163
Briannaland, NV 31849",2022-11-16,Shipped
29,2023-09-05,669,166,20,265.95,5014.29,0.07,0.1,Online Payment,"198 Karina Club Apt. 246
Reedton, KS 01874",2023-09-03,Shipped
30,2020-08-09,892,65,12,182.34,1570.37,0.28,0.18,Cash,"5925 Mccormick Crest
Summerchester, TX 23634",2021-11-10,Pending
31,2021-09-28,612,173,17,192.11,7924.66,0.19,0.09,Online Payment,"932 Brandon Alley
Larsonfort, OK 36276",2021-01-29,Pending
32,2021-03-16,124,3,13,73.45,5102.53,0.14,0.11,Credit Card,"6288 Evans Coves
New Joseph, IA 97384",2021-01-27,Cancelled
33,2021-12-04,508,34,18,484.6,6410.2,0.0,0.07,Online Payment,"33686 Wong Circle Apt. 231
Jeffreymouth, MT 69297",2022-09-05,Shipped
34,2021-05-30,597,28,12,147.42,3366.47,0.21,0.11,Cash,"USNV Newman
FPO AA 30335",2022-11-12,Shipped
35,2021-05-29,272,101,13,200.31,2694.28,0.0,0.1,Credit Card,"3503 Powell Orchard
Garyview, AZ 91317",2020-05-22,Shipped
36,2021-07-13,949,25,18,235.01,6866.13,0.28,0.02,Credit Card,"7645 Rachel Spur
Salazarfurt, NE 27284",2021-12-14,Shipped
37,2023-08-12,421,1,13,427.97,2685.45,0.03,0.13,Online Payment,"153 Lopez Land Suite 976
Saramouth, CT 50169",2020-02-29,Delivered
38,2021-01-02,837,148,10,179.43,852.02,0.03,0.09,Online Payment,"1620 Gonzalez Island
Lewishaven, PA 45312",2020-12-03,Pending
39,2020-01-02,731,161,13,344.58,213.54,0.16,0.11,Debit Card,"USCGC Miller
FPO AP 70333",2021-09-08,Delivered
40,2022-07-11,544,71,10,285.37,9683.56,0.02,0.11,Cash,"6463 Ward Streets Suite 966
West Jacob, TN 00517",2020-11-17,Cancelled
41,2023-04-13,422,190,19,163.37,4713.05,0.07,0.08,Debit Card,"219 Anthony Circle
New Josephchester, MA 38120",2021-02-16,Delivered
42,2022-12-29,865,61,12,323.7,6620.77,0.09,0.15,Cash,"769 Chandler Village Suite 661
West Erinport, MA 50993",2020-03-08,Pending
43,2020-07-23,507,45,11,33.8,1718.6,0.19,0.11,Debit Card,"21194 Jenna Course
West Dennistown, MA 66784",2023-03-09,Shipped
44,2021-09-05,455,163,13,292.15,3707.01,0.1,0.14,Online Payment,"2277 Trevor Vista Suite 935
Levineland, IN 70601",2023-09-16,Cancelled
45,2021-03-25,375,193,2,107.85,3796.43,0.08,0.18,Credit Card,"71777 Kimberly Skyway
Mckeeberg, ME 67592",2020-05-22,Delivered
46,2020-03-11,406,20,1,244.28,1004.52,0.25,0.12,Debit Card,"1166 Stephanie Rest Apt. 416
East Judithshire, NH 77285",2023-01-18,Delivered
47,2020-07-12,938,178,14,219.03,6427.6,0.04,0.07,Debit Card,"49209 Chapman Point Apt. 043
North Rebecca, MD 68285",2022-01-04,Delivered
48,2022-01-02,782,29,7,390.29,4820.71,0.27,0.02,Online Payment,"969 Tanya Track Suite 193
Katelynfurt, SC 68049",2020-12-13,Pending
49,2023-12-16,675,190,8,138.84,7144.2,0.27,0.16,Credit Card,"326 Mccall Dam Apt. 189
West Jamesside, NC 68742",2022-10-25,Delivered
50,2022-11-18,293,148,14,190.95,6434.78,0.08,0.03,Cash,"9932 Osborne Square
Jessicaborough, VA 13396",2021-05-23,Shipped
51,2022-02-11,233,194,15,98.86,941.53,0.18,0.13,Online Payment,"USS Villegas
FPO AA 07378",2020-05-22,Delivered
52,2022-04-02,796,190,5,462.32,6373.75,0.06,0.08,Cash,"197 Anderson Locks Suite 118
Taylorhaven, OR 19090",2021-01-06,Pending
53,2020-03-15,425,103,20,11.52,1431.77,0.28,0.02,Cash,"0284 Jennifer Estates
Kimport, GA 45462",2020-07-29,Shipped
54,2022-12-02,221,150,8,269.78,3271.35,0.27,0.14,Online Payment,"64954 Clayton Grove Apt. 084
Michaelburgh, CA 20352",2023-12-18,Pending
55,2022-03-13,60,31,3,344.47,6520.67,0.06,0.15,Online Payment,"19439 Alan Parkways Suite 455
Edwardview, MI 18167",2022-11-02,Shipped
56,2023-03-01,33,197,5,111.92,2727.72,0.3,0.11,Online Payment,"992 Johnson Ridge Apt. 662
Lake Melissa, VT 23990",2023-07-14,Cancelled
57,2020-02-04,792,137,3,429.55,4094.14,0.2,0.16,Credit Card,"5382 Gomez Expressway
Bentonmouth, TN 67716",2021-11-30,Cancelled
58,2023-01-14,598,121,20,456.8,2186.08,0.18,0.05,Debit Card,"PSC 4151, Box 5019
APO AP 50448",2022-06-18,Cancelled
59,2023-05-29,608,177,19,19.77,4596.69,0.19,0.12,Cash,"9071 Emily View
Snyderbury, MO 45753",2023-06-07,Shipped
60,2023-05-04,942,55,13,421.54,232.95,0.27,0.08,Online Payment,"329 Hebert Mills
North Reneebury, NM 83849",2021-08-09,Delivered
61,2020-11-27,378,99,14,403.49,4990.3,0.12,0.13,Online Payment,"0025 Farmer Cape
Paulborough, DE 62101",2022-06-11,Shipped
62,2023-10-08,892,174,6,321.32,2615.44,0.1,0.19,Online Payment,"51691 Hall Way Apt. 314
Lake Bobby, DC 85775",2021-07-29,Delivered
63,2023-08-29,527,22,10,326.01,4147.91,0.03,0.2,Credit Card,"937 Shane Falls
Angelamouth, CT 75277",2020-12-11,Shipped
64,2021-11-07,860,176,3,99.48,4115.17,0.28,0.12,Credit Card,"012 Schroeder Knolls Suite 357
Taylorfort, CO 69801",2021-10-25,Shipped
65,2021-06-19,243,140,2,67.86,4048.26,0.13,0.18,Credit Card,"5817 Matthew Mountains Suite 653
Lake Christopherborough, MS 17688",2021-10-28,Pending
66,2023-09-20,831,33,8,431.01,9458.78,0.28,0.13,Cash,"323 Anthony Ville
South Albertland, AZ 91838",2023-06-20,Delivered
67,2021-04-16,621,86,10,473.34,2504.96,0.26,0.02,Credit Card,"82876 Marie Pass Suite 747
New Williamville, NJ 54705",2022-02-25,Shipped
68,2021-06-13,198,189,13,477.85,2794.57,0.2,0.14,Debit Card,"0600 Matthew Squares
Castanedaburgh, NH 13374",2022-07-11,Shipped
69,2021-05-20,532,191,19,164.65,6271.78,0.18,0.06,Cash,"042 Cody Squares Suite 897
West Darlene, AZ 06339",2021-06-21,Shipped
70,2023-10-30,111,186,7,40.58,5560.53,0.01,0.19,Debit Card,"55259 Robert Gateway
Port Robertview, GA 06045",2022-07-28,Shipped
71,2022-07-27,626,198,13,440.49,4511.66,0.27,0.18,Online Payment,"Unit 9715 Box 3420
DPO AP 65269",2023-04-11,Delivered
72,2021-05-11,877,170,4,392.61,4571.99,0.28,0.1,Online Payment,"PSC 3949, Box 2621
APO AE 96943",2020-04-30,Delivered
73,2022-08-01,53,172,4,410.54,7997.82,0.26,0.13,Cash,"9065 Carol Rapids Suite 591
Turnerville, ID 68033",2021-06-04,Pending
74,2021-09-04,819,165,2,445.26,1230.45,0.19,0.16,Online Payment,"38207 Amanda Oval Suite 530
Lawrencestad, WA 17142",2020-11-23,Delivered
75,2022-03-02,554,4,19,187.29,2194.46,0.07,0.16,Credit Card,"28984 Mckee View Apt. 370
Davisport, OH 96928",2022-01-05,Pending
76,2020-02-18,713,58,6,142.78,3363.22,0.07,0.02,Debit Card,"1564 Kimberly Ridges Apt. 671
Nicholasshire, WA 24447",2020-08-24,Pending
77,2021-04-05,148,176,14,364.6,9452.2,0.17,0.13,Debit Card,"377 Delgado Ford
West Rachelborough, MS 82570",2023-12-09,Shipped
78,2021-11-28,327,183,12,450.47,4886.32,0.23,0.14,Online Payment,"9237 Sarah Stream
West Dustinstad, ME 73451",2021-06-04,Pending
79,2023-03-24,287,50,5,412.31,8932.5,0.28,0.1,Online Payment,"USNV Wise
FPO AP 83773",2022-01-17,Delivered
80,2021-07-24,705,173,1,145.82,5695.41,0.07,0.04,Debit Card,"6013 Bobby River
North Phillipmouth, LA 85757",2023-04-05,Cancelled
81,2021-05-03,87,172,1,381.55,5665.51,0.3,0.18,Debit Card,"9559 Rachel Forks
Stephanieton, MD 74660",2022-04-01,Shipped
82,2020-01-30,884,44,17,81.12,5976.33,0.17,0.18,Credit Card,"7840 Long Summit
Parksmouth, TX 60221",2021-02-21,Shipped
83,2020-12-01,399,37,11,467.53,9176.55,0.12,0.15,Cash,"81025 Jeremy Well Apt. 475
Lisaville, KY 99326",2020-12-22,Cancelled
84,2022-03-12,959,144,13,103.71,1521.82,0.23,0.15,Credit Card,"65782 Timothy Course
South Ericmouth, PA 00717",2021-11-17,Pending
85,2021-07-12,583,68,8,58.11,8882.8,0.01,0.09,Cash,"59291 Michael Rapid Apt. 300
Anthonytown, SC 03681",2020-06-16,Shipped
86,2022-03-31,323,43,13,210.14,6473.81,0.11,0.19,Debit Card,"53881 Tanya Knoll
Melissamouth, ND 51745",2023-07-24,Cancelled
87,2021-01-13,531,193,15,440.08,7943.06,0.24,0.0,Cash,"51704 Lewis Mews Apt. 158
East Emily, CT 47527",2022-07-03,Cancelled
88,2021-02-18,547,177,14,392.71,4256.53,0.26,0.04,Debit Card,"8110 Steven Loop
Port Justinton, HI 32350",2022-11-13,Shipped
89,2022-01-28,138,39,5,89.75,7966.91,0.0,0.09,Cash,"5168 Kelly Station Apt. 332
Port Haley, NE 59046",2022-09-17,Cancelled
90,2021-02-17,405,156,20,73.2,822.59,0.29,0.02,Debit Card,"60739 Kathleen Fall
North Josephview, ME 17792",2023-03-30,Delivered
91,2022-04-16,766,42,16,492.07,204.51,0.01,0.19,Cash,"7632 Richard Ferry
East Tamarahaven, GA 50534",2023-12-30,Delivered
92,2022-01-12,458,51,15,451.12,4230.92,0.06,0.08,Online Payment,"54611 Campos Estates Suite 254
South Ashley, AK 73241",2022-01-17,Shipped
93,2022-07-14,261,82,2,309.39,5861.51,0.09,0.1,Debit Card,"USCGC Watts
FPO AA 86584",2020-09-30,Delivered
94,2021-09-08,268,22,14,72.93,5915.68,0.29,0.01,Cash,"892 Carol Points
Greenborough, WA 06470",2023-04-10,Pending
95,2020-08-18,109,37,2,214.09,9367.53,0.26,0.1,Cash,"519 James Junction Apt. 978
East Timothyhaven, MO 16227",2023-10-30,Delivered
96,2021-08-21,435,137,10,396.87,2667.57,0.09,0.05,Online Payment,"75393 Christine Forest Apt. 176
Port Kelly, RI 59147",2021-10-24,Shipped
97,2020-08-01,506,181,10,117.03,8937.63,0.09,0.2,Debit Card,"64822 Duncan Mission
Bakerville, IL 98044",2020-12-12,Delivered
98,2020-05-12,647,101,8,45.47,8084.16,0.29,0.07,Credit Card,"8325 James Lock Apt. 644
Jenkinsburgh, CT 52562",2023-07-13,Pending
99,2023-03-05,688,96,16,481.75,2873.41,0.21,0.07,Cash,"3156 David Road Suite 151
Carolynborough, WA 72161",2020-05-06,Pending
100,2022-04-12,876,33,2,429.2,9136.91,0.23,0.19,Cash,"11608 Colon Squares
Carriefort, PA 68232",2021-08-21,Pending
101,2023-09-01,201,135,3,271.25,5219.16,0.26,0.06,Debit Card,"1926 Joshua Meadows Apt. 019
South Linda, MO 70741",2021-01-15,Cancelled
102,2023-02-15,227,98,2,141.98,1743.12,0.03,0.13,Debit Card,"206 Pratt Roads
Brittneyburgh, GA 41154",2022-05-05,Cancelled
103,2020-01-23,124,181,1,110.06,2964.71,0.22,0.14,Debit Card,"7726 Johnston Ports
New Rebecca, WV 55045",2023-05-26,Delivered
104,2022-11-08,476,140,5,413.68,2521.93,0.27,0.15,Debit Card,"82064 Wagner Harbor
North Michaelburgh, CA 11971",2020-06-16,Delivered
105,2023-03-25,463,124,2,368.66,2559.96,0.23,0.04,Credit Card,"742 Blake Isle
Youngmouth, GA 22353",2023-05-07,Shipped
106,2023-09-16,423,118,5,366.17,2300.99,0.06,0.01,Cash,"890 Natalie Walks
Port Susan, OK 99896",2022-12-15,Pending
107,2021-05-24,948,182,17,316.96,6162.3,0.07,0.01,Cash,"9350 Kristen Park Suite 338
Millerstad, IA 13705",2023-04-12,Pending
108,2021-02-10,674,71,17,57.08,8588.76,0.19,0.13,Cash,"2416 Sierra Glens Suite 138
Allenton, MN 52927",2022-05-31,Pending
109,2021-03-09,318,16,20,303.35,108.62,0.08,0.1,Credit Card,"13816 Parker Mews Suite 205
Port Justinmouth, WV 54779",2022-10-16,Pending
110,2020-03-02,599,131,5,148.1,5128.18,0.25,0.02,Online Payment,"463 Herrera Cove Suite 092
Lake Brendastad, FL 12980",2023-11-29,Cancelled
111,2022-01-17,640,16,15,203.76,541.4,0.17,0.15,Debit Card,"7083 Stephen Valley
West Philipside, UT 33529",2023-01-30,Delivered
112,2021-10-30,525,186,3,191.41,5541.39,0.16,0.11,Online Payment,"5860 Cody Park Apt. 523
Port Davidfurt, IA 06494",2021-09-08,Pending
113,2021-05-01,549,176,19,485.66,2524.83,0.29,0.11,Cash,"Unit 2975 Box 1324
DPO AP 35633",2023-04-12,Cancelled
114,2022-05-05,72,171,7,287.31,2262.12,0.25,0.04,Credit Card,"83371 Christine Oval Apt. 843
Curtisfort, TX 79993",2020-06-25,Delivered
115,2023-10-20,128,66,4,27.94,3702.18,0.04,0.09,Debit Card,"640 Brian Keys
Ginaport, NH 85397",2020-01-12,Shipped
116,2022-04-07,470,171,7,354.56,5243.13,0.11,0.17,Cash,"14724 Williams Mills
South Robertfurt, WA 96439",2020-03-15,Pending
117,2020-09-20,722,197,2,393.72,4867.03,0.05,0.0,Online Payment,"17130 Christopher Circles Suite 946
New Lori, HI 03245",2020-07-01,Pending
118,2022-03-11,199,121,15,149.7,2763.42,0.03,0.01,Online Payment,"03036 Nicolas Corner Apt. 157
South David, KY 98009",2022-08-07,Cancelled
119,2020-04-30,487,39,10,263.88,5344.04,0.19,0.18,Cash,"2715 Sean Plain
Pageberg, VA 46768",2022-03-13,Pending
120,2021-05-11,785,137,14,311.31,6925.38,0.08,0.12,Online Payment,"7362 Kelsey Estate
Harrellmouth, ND 16601",2021-09-11,Pending
121,2020-10-13,133,178,12,184.41,5429.66,0.07,0.06,Debit Card,"5427 Watts Estates
Johnsonton, NJ 73282",2021-10-24,Shipped
122,2020-11-01,249,175,11,416.45,6957.53,0.01,0.05,Online Payment,"175 Cody Ports
Franklinmouth, NJ 41168",2020-01-21,Shipped
123,2023-01-05,834,168,9,315.02,6198.94,0.18,0.11,Debit Card,"5154 Mendoza Rue
Warrenville, WI 25803",2021-03-16,Pending
124,2021-09-02,732,100,14,464.67,4429.85,0.02,0.14,Debit Card,"8179 Jones Roads Suite 050
New Sabrina, DC 95745",2023-01-24,Delivered
125,2022-07-28,57,136,3,213.77,1127.02,0.09,0.1,Online Payment,"5277 Obrien Pine
Montgomerystad, CT 06046",2023-06-10,Shipped
126,2021-07-22,899,112,13,305.53,8551.19,0.2,0.05,Credit Card,"74647 Sherry Stravenue Apt. 184
Port Jonathanton, AK 12261",2021-02-23,Shipped
127,2022-08-20,194,97,19,494.92,650.97,0.1,0.2,Credit Card,"03823 Tapia Rapids Suite 586
Johnside, NH 23799",2022-03-21,Cancelled
128,2020-03-16,470,181,15,490.77,8302.9,0.27,0.08,Debit Card,"8766 Wallace Wall Suite 448
East Samuel, PA 98395",2021-01-14,Cancelled
129,2021-10-21,32,168,14,143.5,4877.29,0.17,0.03,Cash,"1591 Lee Manor
Scottfurt, AZ 51261",2020-01-30,Shipped
130,2021-03-16,808,95,8,267.56,4691.61,0.08,0.01,Online Payment,"218 Kevin Hollow
Tylerside, GA 05009",2023-06-30,Delivered
131,2021-04-13,511,158,16,177.49,7676.22,0.1,0.12,Credit Card,"322 Woodard Roads Apt. 948
Rodriguezville, NJ 03461",2023-01-02,Cancelled
132,2022-03-02,485,29,14,27.07,8140.8,0.18,0.11,Cash,"484 Trevor Isle
East Lori, IN 11801",2021-10-20,Cancelled
133,2020-01-20,516,90,2,389.36,4220.07,0.29,0.01,Online Payment,"6274 Linda Green Suite 032
Thomasport, MD 77138",2022-04-06,Delivered
134,2023-06-10,142,147,10,136.31,5586.53,0.04,0.06,Credit Card,"USNS Hernandez
FPO AE 02076",2022-01-16,Delivered
135,2023-12-08,432,119,1,246.44,6253.98,0.05,0.12,Debit Card,"114 Preston Terrace
South Clayton, ME 34051",2022-11-23,Delivered
136,2022-07-31,284,150,13,30.73,9897.74,0.05,0.13,Cash,"597 Kelly Streets
Drewberg, MO 42775",2023-10-21,Cancelled
137,2020-12-02,851,67,18,284.21,2565.32,0.2,0.02,Cash,"04846 Baker Throughway Suite 516
South Donna, MA 60964",2022-08-01,Pending
138,2020-01-26,301,3,17,293.34,5868.76,0.19,0.08,Debit Card,"001 Dennis Greens Apt. 785
Julieville, NJ 80393",2020-09-29,Shipped
139,2021-01-26,184,97,17,479.72,3274.12,0.18,0.18,Cash,"32898 George Turnpike
Tuckerside, AR 65261",2023-02-15,Delivered
140,2021-01-28,77,144,9,447.01,8387.31,0.22,0.05,Credit Card,"036 Matthew Ford
Lake Cameronport, AR 34729",2021-08-29,Pending
141,2021-10-19,1000,77,11,218.66,4217.55,0.14,0.19,Online Payment,"99115 Wallace Forges Suite 245
Mcbrideburgh, IA 73807",2023-08-23,Shipped
142,2023-09-19,890,169,13,467.7,6948.57,0.16,0.13,Online Payment,"53722 Kerri Tunnel Suite 835
Patriciaview, IA 95014",2023-10-28,Delivered
143,2022-01-28,548,193,6,383.94,1712.96,0.17,0.06,Debit Card,"1931 Vargas Roads
North Jeffreyfurt, ID 92404",2020-10-23,Delivered
144,2022-06-18,138,25,6,205.8,1052.8,0.17,0.08,Cash,"8125 Smith Courts
Port Danielleburgh, AZ 55577",2022-07-04,Pending
145,2020-06-03,988,108,20,96.99,3879.27,0.14,0.14,Cash,"97593 Green Groves
Joshuahaven, OK 77100",2022-08-26,Cancelled
146,2023-09-09,837,200,1,202.44,6007.5,0.08,0.2,Online Payment,"6441 Smith Keys
New Marieport, VT 33549",2022-04-26,Cancelled
147,2021-09-20,251,33,7,106.21,9972.9,0.28,0.06,Cash,"260 Tucker Motorway
Johnsonland, ID 14995",2023-11-13,Shipped
148,2020-02-08,552,113,5,8.23,1029.77,0.14,0.16,Debit Card,"04981 Angela Rue
Bowmanville, AR 01240",2022-03-03,Cancelled
149,2023-02-23,968,66,17,334.61,5977.96,0.26,0.09,Credit Card,"PSC 3236, Box 6276
APO AP 23696",2020-03-20,Pending
150,2022-11-13,235,150,12,206.69,6498.43,0.25,0.03,Online Payment,"791 Katherine Crest
Lake Jadeborough, MO 84370",2020-04-30,Cancelled
151,2021-02-01,797,122,9,64.9,9817.7,0.24,0.13,Cash,"072 Crystal Forks
South Phillip, OH 20675",2021-02-20,Pending
152,2023-02-08,397,47,6,69.9,3230.52,0.01,0.17,Credit Card,"29383 Nicholas Junctions
Austinview, IN 14685",2022-06-07,Cancelled
153,2020-03-17,14,188,20,404.41,9196.43,0.16,0.16,Debit Card,"4982 Rachel Ways
West Andrew, CO 04632",2021-09-17,Pending
154,2021-05-01,434,21,8,453.02,1281.34,0.24,0.13,Debit Card,"9572 Jared River Apt. 793
Lake Ryan, ME 86091",2022-11-25,Pending
155,2022-12-09,725,21,19,352.29,4296.24,0.19,0.19,Online Payment,"3813 Lisa Rapid
Stewartburgh, ID 96916",2020-04-29,Cancelled
156,2022-06-30,500,43,1,185.76,7092.88,0.27,0.16,Cash,"959 Williams Heights Suite 387
Reyesstad, CA 76992",2023-07-11,Cancelled
157,2023-06-26,85,56,15,25.33,2834.34,0.23,0.15,Online Payment,"64383 Brown Manors Apt. 150
New Stephenton, LA 44545",2021-11-24,Delivered
158,2021-02-24,907,161,16,56.93,2248.63,0.25,0.19,Online Payment,"195 Theresa Crescent Apt. 386
Bradmouth, IA 12389",2022-05-21,Cancelled
159,2021-04-21,204,118,15,356.62,1493.2,0.02,0.15,Online Payment,"1373 Watts Mews Apt. 516
New Brittany, MN 42222",2021-11-23,Shipped
160,2020-04-05,834,151,9,198.79,9820.81,0.18,0.01,Credit Card,"Unit 5240 Box 0971
DPO AP 52787",2021-06-01,Cancelled
161,2022-01-20,570,151,5,347.68,1083.94,0.07,0.02,Debit Card,"PSC 7161, Box 2186
APO AE 15614",2022-06-15,Shipped
162,2020-03-08,696,100,4,199.65,3805.06,0.07,0.06,Cash,"2672 Smith Plaza Suite 853
North Angelamouth, MI 18863",2022-07-01,Cancelled
163,2020-06-30,796,182,19,283.22,8254.62,0.13,0.04,Cash,"92046 Williams Forges
Webbtown, OH 06180",2021-07-13,Shipped
164,2022-01-10,950,91,15,305.97,8021.48,0.16,0.03,Online Payment,"54301 Joy Mountain
Brewerport, WY 14291",2021-03-06,Shipped
165,2023-05-29,656,154,20,251.57,5560.04,0.11,0.06,Debit Card,"63014 Tina Viaduct
South Sandramouth, FL 36042",2023-03-25,Pending
166,2023-04-20,615,55,5,227.06,8054.94,0.08,0.14,Credit Card,"PSC 0447, Box 1614
APO AE 60984",2020-04-03,Pending
167,2020-12-18,601,189,4,437.54,9250.71,0.26,0.07,Cash,"266 Nichole Rapid Suite 362
West David, MO 65068",2022-07-25,Delivered
168,2021-02-13,224,14,2,217.09,4217.67,0.14,0.12,Credit Card,"977 Emily Roads
Jonathanview, TX 01987",2023-01-22,Delivered
169,2020-02-15,601,77,2,444.8,5956.72,0.22,0.14,Credit Card,"8421 Mayer Via Suite 920
Stephenville, NV 24029",2023-04-11,Pending
170,2020-06-25,524,122,17,124.17,9662.44,0.09,0.19,Cash,"3148 Preston Glens Suite 527
Jonathanfurt, MD 60354",2023-02-11,Delivered
171,2021-03-08,320,68,15,435.56,4769.92,0.06,0.12,Cash,"Unit 8144 Box 0907
DPO AE 83115",2022-04-03,Cancelled
172,2023-04-14,2,102,16,403.32,2350.03,0.11,0.13,Cash,"76259 Tracy Light Suite 954
East Janetchester, SC 77571",2023-01-04,Shipped
173,2023-09-23,523,111,6,229.88,1096.57,0.21,0.01,Credit Card,"55515 Stephen Land
North Danielland, AZ 40337",2020-11-18,Shipped
174,2022-04-01,469,83,15,165.48,7893.63,0.2,0.06,Online Payment,"63703 Dawn Rapid
North Ryan, NH 04171",2023-03-09,Delivered
175,2020-06-19,820,59,12,138.55,4572.57,0.04,0.11,Debit Card,"454 Morgan Passage
North Victoriachester, MI 64413",2023-10-16,Delivered
176,2021-11-19,56,97,8,24.9,5531.61,0.18,0.07,Debit Card,"15545 Jason Drives Apt. 467
Robertville, GA 30912",2020-09-04,Shipped
177,2020-05-10,10,85,1,346.45,3238.03,0.25,0.14,Cash,"9269 Chambers Route Suite 026
Wandatown, VA 58751",2020-01-13,Pending
178,2023-04-25,746,37,20,419.19,1265.91,0.11,0.16,Debit Card,"102 Charlene Estates Suite 624
South Joshuatown, UT 18712",2021-12-12,Delivered
179,2023-12-14,708,49,14,389.97,822.48,0.04,0.05,Debit Card,"126 Russo Divide
Jacksonberg, CO 97859",2022-09-21,Pending
180,2020-10-06,827,165,16,481.23,9683.43,0.01,0.16,Cash,"195 Stephens Extensions
Georgebury, SD 91264",2023-09-23,Cancelled
181,2020-12-02,799,122,4,439.13,3805.42,0.19,0.06,Online Payment,"759 Moss Passage
Robertsside, NJ 18947",2021-03-28,Pending
182,2020-01-26,24,100,7,295.63,3175.28,0.25,0.1,Credit Card,"3766 Levine Camp Suite 886
Daviston, FL 42657",2021-07-04,Cancelled
